day_counter,0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19
0,,,3,,,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,,,
4,2,,7,,,,,,,,,,,,,,,,
5,2,,7,,,,,,,,,,,,,,,,
6,4,,9,,,,,,,,,,,,,,,,
7,6,,9,,,,,,,,,,,,,,,,
8,8,,9,,,,,,,,,,,,,,,,
9,8,,9,,,,,,,,,,,,,,,,
10,5,,13,,,,,,,,,,,,,,,,
11,6,,13,,,,,,,,,,,,,,,,
12,6,,14,,,,,,,,,,,,,,,,
13,6,,13,,,,,,,,,,,,,,,,
14,7,2,13,,,,,,,,,,,,,,,,
15,7,2,13,,,,,,,,,,,,,,,,
16,6,,,19,,,,,,,,,,,,,,,
17,6,,,19,,,,,,,,,,,,,,,
18,7,,,19,,,,,,,,,,,,,,,
19,9,,,19,,,,,,,,,,,,,,,
20,9,,,21,,,,,,,,,,,,,,,
21,13,,,20,,,,,,,,,,,,,,,
22,16,,,20,,,,,,,,,,,,,,,
23,16,,,20,,,,,,,,,,,,,,,
24,17,,,22,,,,,,,,,,,,,,,
25,17,,,24,,,,,,,,,,,,,,,
26,19,,,25,,,,,,,,,,,,,,,
27,20,,,26,,,,,,,,,,,,,,,
28,22,,,,28,,,,,,,,,,,,,,
29,23,,,,28,,,,,,,,,,,,,,
30,26,,,,28,,,,,,,,,,,,,,
31,25,2,,,28,,,,,,,,,,,,,,
32,26,,,,33,,,,,,,,,,,,,,
33,28,,,,30,,,,,,,,,,,,,,
34,28,,,,30,,,,,,,,,,,,,,
35,24,,,,,38.0,,,,,,,,,,,,,
36,24,,,,,39.0,,,,,,,,,,,,,
37,24,,,,,39.0,,,,,,,,,,,,,
38,24,,,,,40.0,,,,,,,,,,,,,
39,24,,,,,41.0,,,,,,,,,,,,,
40,22,2,,,,45.0,,,,,,,,,,,,,
41,22,2,,,,46.0,,,,,,,,,,,,,
42,24,2,,,,47.0,,,,,,,,,,,,,
43,24,2,,,,47.0,,,,,,,,,,,,,
44,26,2,,,,47.0,,,,,,,,,,,,,
45,26,2,,,,47.0,,,,,,,,,,,,,
46,28,2,,,,47.0,,,,,,,,,,,,,
47,28,2,,,,49.0,,,,,,,,,,,,,
48,25,2,,,,,55.0,,,,,,,,,,,,
49,3,,,,,,,82.0,,,,,,,,,,,
50,4,,,,,,,81.0,,,,,,,,,,,
51,4,,,,,,,81.0,,,,,,,,,,,
52,4,,,,,,,83.0,,,,,,,,,,,
53,5,,,,,,,83.0,,,,,,,,,,,
54,6,,,,,,,85.0,,,,,,,,,,,
55,6,,,,,,,85.0,,,,,,,,,,,
56,5,,,,,,,89.0,,,,,,,,,,,
57,6,,,,,,,89.0,,,,,,,,,,,
58,6,,,,,,,89.0,,,,,,,,,,,
59,6,,,,,,,89.0,,,,,,,,,,,
60,7,,,,,,,89.0,,,,,,,,,,,
61,7,,,,,,,89.0,,,,,,,,,,,
62,8,,,,,,,89.0,,,,,,,,,,,
63,10,,,,,,,91.0,,,,,,,,,,,
64,11,,,,,,,92.0,,,,,,,,,,,
65,12,,,,,,,93.0,,,,,,,,,,,
66,15,,,,,,,93.0,,,,,,,,,,,
67,33,6,,,,,70.0,,,,,,,,,,,,
