day_counter,0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17
0,,,3,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,
2,,2,3,,,,,,,,,,,,,,
3,,2,4,,,,,,,,,,,,,,
4,1,4,4,,,,,,,,,,,,,,
5,1,4,4,,,,,,,,,,,,,,
6,3,5,5,,,,,,,,,,,,,,
7,5,5,5,,,,,,,,,,,,,,
8,7,5,5,,,,,,,,,,,,,,
9,7,9,,,,,,,,,,,,,,,
10,5,6,6,,,,,,,,,,,,,,
11,6,6,6,,,,,,,,,,,,,,
12,7,,11,,,,,,,,,,,,,,
13,7,,11,,,,,,,,,,,,,,
14,8,2,11,,,,,,,,,,,,,,
15,8,2,10,,,,,,,,,,,,,,
16,5,2,,14,,,,,,,,,,,,,
17,5,2,,14,,,,,,,,,,,,,
18,6,,,14,,,,,,,,,,,,,
19,7,,,14,,,,,,,,,,,,,
20,6,,,17,,,,,,,,,,,,,
21,10,,,17,,,,,,,,,,,,,
22,13,,,17,,,,,,,,,,,,,
23,13,,,17,,,,,,,,,,,,,
24,14,,,19,,,,,,,,,,,,,
25,12,,,22,,,,,,,,,,,,,
26,16,,,20,,,,,,,,,,,,,
27,15,2,,20,,,,,,,,,,,,,
28,17,2,,,22,,,,,,,,,,,,
29,17,2,,,22,,,,,,,,,,,,
30,20,2,,,21,,,,,,,,,,,,
31,20,2,,,22,,,,,,,,,,,,
32,18,2,,,27,,,,,,,,,,,,
33,20,4,,,22,,,,,,,,,,,,
34,20,4,,,21,,,,,,,,,,,,
35,18,4,,,,28.0,,,,,,,,,,,
36,18,4,,,,29.0,,,,,,,,,,,
37,18,4,,,,29.0,,,,,,,,,,,
38,18,4,,,,30.0,,,,,,,,,,,
39,18,4,,,,31.0,,,,,,,,,,,
40,16,4,,,,,37.0,,,,,,,,,,
41,15,4,,,,,38.0,,,,,,,,,,
42,17,4,,,,,39.0,,,,,,,,,,
43,17,4,,,,,39.0,,,,,,,,,,
44,19,4,,,,,39.0,,,,,,,,,,
45,19,4,,,,,39.0,,,,,,,,,,
46,21,4,,,,,39.0,,,,,,,,,,
47,21,4,,,,,41.0,,,,,,,,,,
48,17,2,,,,,50.0,,,,,,,,,,
49,3,,,,,,,69.0,,,,,,,,,
50,3,,,,,,,69.0,,,,,,,,,
51,2,,,,,,,69.0,,,,,,,,,
52,2,,,,,,,71.0,,,,,,,,,
53,3,,,,,,,71.0,,,,,,,,,
54,4,,,,,,,73.0,,,,,,,,,
55,4,,,,,,,73.0,,,,,,,,,
56,4,,,,,,,76.0,,,,,,,,,
57,5,,,,,,,76.0,,,,,,,,,
58,5,,,,,,,76.0,,,,,,,,,
59,5,,,,,,,76.0,,,,,,,,,
60,6,,,,,,,76.0,,,,,,,,,
61,6,,,,,,,76.0,,,,,,,,,
62,7,,,,,,,76.0,,,,,,,,,
63,9,,,,,,,78.0,,,,,,,,,
64,10,,,,,,,79.0,,,,,,,,,
65,11,,,,,,,80.0,,,,,,,,,
66,14,,,,,,,80.0,,,,,,,,,
67,13,,,,,,,83.0,,,,,,,,,
68,14,,,,,,,84.0,,,,,,,,,
69,16,,,,,,,86.0,,,,,,,,,
70,24,2,,,,,,77.0,,,,,,,,,
71,24,2,,,,,,78.0,,,,,,,,,
72,24,2,,,,,,80.0,,,,,,,,,
73,24,2,,,,,,80.0,,,,,,,,,
74,22,4,,,,,,80.0,,,,,,,,,
75,22,4,,,,,,83.0,,,,,,,,,
76,24,4,,,,,,83.0,,,,,,,,,
77,24,4,,,,,,83.0,,,,,,,,,
78,22,,,,,,,93.0,,,,,,,,,
79,22,,,,,,,93.0,,,,,,,,,
80,22,,,,,,,,98.0,,,,,,,,
81,22,,,,,,,,98.0,,,,,,,,
82,22,,,,,,,,98.0,,,,,,,,
83,23,,,,,,,,98.0,,,,,,,,
84,24,,,,,,,,102.0,,,,,,,,
85,25,,,,,,,,102.0,,,,,,,,
86,26,,,,,,,,103.0,,,,,,,,
87,27,,,,,,,,103.0,,,,,,,,
88,28,,,,,,,,105.0,,,,,,,,
89,27,,,,,,,,106.0,,,,,,,,
90,29,,,,,,,,106.0,,,,,,,,
91,29,,,,,,,,107.0,,,,,,,,
92,29,,,,,,,,107.0,,,,,,,,
93,30,,,,,,,,108.0,,,,,,,,
94,30,,,,,,,,108.0,,,,,,,,
95,31,,,,,,,,108.0,,,,,,,,
96,29,,,,,,,,117.0,,,,,,,,
97,30,,,,,,,,117.0,,,,,,,,
