day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,3,,,,,,,,,,,
1,,,3,,,,,,,,,,,
2,,,5,,,,,,,,,,,
3,,,6,,,,,,,,,,,
4,1,2,6,,,,,,,,,,,
5,1,2,6,,,,,,,,,,,
6,3,3,7,,,,,,,,,,,
7,5,3,7,,,,,,,,,,,
8,7,3,7,,,,,,,,,,,
9,7,3,6,,,,,,,,,,,
10,5,,,12,,,,,,,,,,
11,6,,,12,,,,,,,,,,
12,6,,,13,,,,,,,,,,
13,6,,,13,,,,,,,,,,
14,7,2,,13,,,,,,,,,,
15,7,2,,13,,,,,,,,,,
16,7,,,18,,,,,,,,,,
17,7,,,18,,,,,,,,,,
18,8,,,18,,,,,,,,,,
19,10,,,18,,,,,,,,,,
20,10,,,20,,,,,,,,,,
21,14,,,20,,,,,,,,,,
22,17,,,20,,,,,,,,,,
23,17,,,20,,,,,,,,,,
24,17,,,23,,,,,,,,,,
25,18,,,24,,,,,,,,,,
26,20,,,25,,,,,,,,,,
27,21,,,26,,,,,,,,,,
28,21,4,,26,,,,,,,,,,
29,23,4,24,,,,,,,,,,,
30,26,4,24,,,,,,,,,,,
31,25,6,24,,,,,,,,,,,
32,25,6,,28,,,,,,,,,,
33,25,6,,28,,,,,,,,,,
34,25,6,,28,,,,,,,,,,
35,23,2,,39,,,,,,,,,,
36,23,2,,,40,,,,,,,,,
37,23,2,,,40,,,,,,,,,
38,23,2,,,41,,,,,,,,,
39,23,2,,,42,,,,,,,,,
40,21,4,,,46,,,,,,,,,
41,21,4,,,47,,,,,,,,,
42,23,4,,,48,,,,,,,,,
43,23,4,,,47,,,,,,,,,
44,25,4,,,47,,,,,,,,,
45,25,4,,,47,,,,,,,,,
46,27,4,,,47,,,,,,,,,
47,27,5,,,48,,,,,,,,,
48,24,5,,,54,,,,,,,,,
49,3,,,,,83.0,,,,,,,,
50,4,,,,,83.0,,,,,,,,
51,4,,,,,83.0,,,,,,,,
52,4,,,,,85.0,,,,,,,,
53,5,,,,,85.0,,,,,,,,
54,6,,,,,87.0,,,,,,,,
55,6,,,,,87.0,,,,,,,,
56,6,,,,,89.0,,,,,,,,
57,7,,,,,89.0,,,,,,,,
58,7,,,,,89.0,,,,,,,,
59,7,,,,,89.0,,,,,,,,
60,8,,,,,89.0,,,,,,,,
61,8,,,,,89.0,,,,,,,,
62,9,,,,,89.0,,,,,,,,
63,11,,,,,91.0,,,,,,,,
64,11,2,,,,91.0,,,,,,,,
65,12,2,,,,92.0,,,,,,,,
66,15,2,,,,92.0,,,,,,,,
67,14,4,,,,93.0,,,,,,,,
68,15,4,,,,,94.0,,,,,,,
69,16,7,,,,,94.0,,,,,,,
70,14,5,,,,,100.0,,,,,,,
71,14,5,,,,,101.0,,,,,,,
72,15,5,,,,,103.0,,,,,,,
73,15,5,,,,,103.0,,,,,,,
74,15,5,,,,,104.0,,,,,,,
75,14,5,,,,,108.0,,,,,,,
76,16,5,,,,,109.0,,,,,,,
77,16,5,,,,,109.0,,,,,,,
78,16,3,,,,,115.0,,,,,,,
79,16,3,,,,,115.0,,,,,,,
80,32,5,,,,,101.0,,,,,,,
81,32,5,,,,,101.0,,,,,,,
82,32,5,,,,,101.0,,,,,,,
83,33,5,,,,,101.0,,,,,,,
84,32,5,,,,,107.0,,,,,,,
85,33,5,,,,,107.0,,,,,,,
86,34,5,,,,107.0,,,,,,,,
87,35,5,,,,107.0,,,,,,,,
88,37,5,,,,108.0,,,,,,,,
89,37,5,,,,109.0,,,,,,,,
90,39,5,,,,110.0,,,,,,,,
91,38,5,,,,112.0,,,,,,,,
92,38,5,,,,112.0,,,,,,,,
93,39,5,,,,113.0,,,,,,,,
94,39,5,,,,114.0,,,,,,,,
95,40,5,,,,114.0,,,,,,,,
96,37,3,,,,126.0,,,,,,,,
97,38,3,,,,125.0,,,,,,,,
98,39,3,,,,127.0,,,,,,,,
99,40,3,,,,128.0,,,,,,,,
100,41,3,,,,,136.0,,,,,,,
101,41,3,,,,,136.0,,,,,,,
102,41,3,,,,,137.0,,,,,,,
103,41,3,,,,,137.0,,,,,,,
104,41,3,,,,,140.0,,,,,,,
105,42,3,,,,,143.0,,,,,,,
106,43,5,,,,,143.0,,,,,,,
107,43,5,,,,,143.0,,,,,,,
108,44,5,,,,,143.0,,,,,,,
109,44,5,,,,,143.0,,,,,,,
110,48,8,,,,,144.0,,,,,,,
111,48,8,,,,,144.0,,,,,,,
112,46,8,,,,,147.0,,,,,,,
113,46,8,,,,,147.0,,,,,,,
114,46,8,,,,,150.0,,,,,,,
115,46,8,,,,,150.0,,,,,,,
116,46,8,,,,,150.0,,,,,,,
117,48,8,,,,,151.0,,,,,,,
118,49,8,,,,,150.0,,,,,,,
119,49,8,,,,,150.0,,,,,,,
120,48,8,,,,,156.0,,,,,,,
121,48,8,,,,,156.0,,,,,,,
122,48,8,,,,,156.0,,,,,,,
123,48,8,,,,,157.0,,,,,,,
124,47,8,,,,,161.0,,,,,,,
125,48,8,,,,,161.0,,,,,,,
126,49,8,,,,,164.0,,,,,,,
127,50,8,,,,,164.0,,,,,,,
128,48,8,,,,,167.0,,,,,,,
129,48,8,,,,,167.0,,,,,,,
130,51,8,,,,,167.0,,,,,,,
131,51,8,,,,,167.0,,,,,,,
132,50,8,,,,,170.0,,,,,,,
133,51,8,,,,,172.0,,,,,,,
134,50,8,,,,,174.0,,,,,,,
135,50,8,,,,,175.0,,,,,,,
136,51,8,,,,,175.0,,,,,,,
137,51,8,,,,,175.0,,,,,,,
138,51,8,,,,,176.0,,,,,,,
139,51,8,,,,,176.0,,,,,,,
140,53,8,,,,,179.0,,,,,,,
141,53,8,,,,,179.0,,,,,,,
142,53,8,,,,,180.0,,,,,,,
143,53,8,,,,,180.0,,,,,,,
144,54,8,,,,,180.0,,,,,,,
145,54,8,,,,,180.0,,,,,,,
146,55,8,,,,,181.0,,,,,,,
147,56,8,,,,,182.0,,,,,,,
148,54,8,,,,,189.0,,,,,,,
149,54,8,,,,,188.0,,,,,,,
150,54,8,,,,,188.0,,,,,,,
151,55,8,,,,,188.0,,,,,,,
152,54,8,,,,,191.0,,,,,,,
153,57,8,,,,,191.0,,,,,,,
154,58,8,,,,,193.0,,,,,,,
155,58,4,,,,,198.0,,,,,,,
156,58,4,,,,,200.0,,,,,,,
157,58,4,,,,,200.0,,,,,,,
158,58,4,,,,,200.0,,,,,,,
159,57,4,,,,,201.0,,,,,,,
160,59,4,,,,,203.0,,,,,,,
161,59,4,,,,,203.0,,,,,,,
162,59,4,,,,,203.0,,,,,,,
163,60,4,,,,,203.0,,,,,,,
164,61,4,,,,,203.0,,,,,,,
165,64,4,,,,,203.0,,,,,,,
166,64,4,,,,,206.0,,,,,,,
167,64,4,,,,,206.0,,,,,,,
168,65,4,,,,,207.0,,,,,,,
169,66,4,,,,,207.0,,,,,,,
170,67,4,,,,,207.0,,,,,,,
171,66,4,,,,,209.0,,,,,,,
172,66,4,,,,,,214.0,,,,,,
