day_counter,0,1,2,3,4,6,5
0,,,3,,,,
1,,,3,,,,
2,,2,3,,,,
3,,2,4,,,,
4,1,4,4,,,,
5,1,4,4,,,,
6,3,2,4,4,,,
7,5,2,3,4,,,
8,7,2,3,4,,,
9,7,4,,4,,,
10,5,2,,8,,,
11,6,2,7,,,,
12,7,,8,,,,
13,7,,8,,,,
14,8,8,,,,,
15,8,8,,,,,
16,5,11,,,,,
17,5,11,,,,,
18,6,10,,,,,
19,8,10,,,,,
20,6,12,,,,,
21,10,12,,,,,
22,13,12,,,,,
23,13,12,,,,,
24,14,12,,,,,
25,14,14,,,,,
26,15,16,,,,,
27,16,17,,,,,
28,18,15,3,,,,
29,20,13,3,,,,
30,23,13,3,,,,
31,23,13,3,,,,
32,22,17,3,,,,
33,22,17,3,,,,
34,23,15,3,,,,
35,20,3,3,20,,,
36,19,5,,21,,,
37,19,5,,21,,,
38,19,5,,22,,,
39,19,5,,23,,,
40,17,2,,32,,,
41,15,2,,34,,,
42,17,2,,35,,,
43,17,2,,35,,,
44,19,2,,35,,,
45,20,4,,29,,,
46,22,4,,29,,,
47,22,4,,31,,,
48,19,,,40,,,
49,,,,,61,,
50,1,,,,61,,
51,1,,,,61,,
52,1,,,,63,,
53,2,,,,63,,
54,3,,,,65,,
55,3,,,,64,,
56,3,,,,67,,
57,4,,,,67,,
58,4,,,,66,,
59,4,,,,66,,
60,5,,,,66,,
61,5,,,,66,,
62,6,,,,66,,
63,7,,,,68,,
64,8,,,,69,,
65,27,4,,,46,,
66,30,4,,,46,,
67,27,4,,,51,,
68,28,4,,,52,,
69,31,7,,,49,,
70,30,2,,,57,,
71,30,2,,,57,,
72,29,2,,,60,,
73,32,2,3,,53,,
74,31,4,3,,53,,
75,30,4,3,,56,,
76,32,4,3,,57,,
77,32,4,3,,57,,
78,31,4,,,64,,
79,31,4,,,64,,
80,27,4,,,72,,
81,27,4,,,71,,
82,27,4,,,71,,
83,28,6,,,68,,
84,27,8,,,72,,
85,28,8,,,72,,
86,29,8,,,73,,
87,30,8,,,73,,
88,34,8,,,71,,
89,34,8,,,71,,
90,35,8,,,72,,
91,34,8,3,,70,,
92,37,8,3,,65,,
93,37,8,3,,67,,
94,37,8,3,,68,,
95,38,8,3,,68,,
