date,bug_id,degree,depth,severity,votes,comment_count
6,6,0,0,5,0,15
9,11,1,1,4,0,9
10,4,1,1,3,0,3
11,3,0,0,4,0,5
13,1,0,0,3,0,9
15,12,0,0,3,0,6
18,24,0,0,4,0,2
19,21,0,0,5,1,6
20,17,3,2,3,1,54
21,27,0,0,3,0,3
22,20,0,0,4,0,7
25,30,2,1,3,0,7
27,29,0,0,4,0,11
30,51,0,0,4,0,3
32,48,1,1,4,0,4
35,56,1,1,5,0,14
42,57,0,0,5,0,3
44,68,0,0,5,0,2
45,41,4,1,5,0,2
46,78,0,0,5,0,3
47,39,1,1,4,1,3
52,52,0,0,4,5,4
54,91,0,0,4,0,4
56,65,1,1,3,0,13
59,67,0,0,4,0,4
61,92,0,0,4,1,5
63,95,0,0,4,0,6
68,90,0,0,4,0,7
69,113,0,0,5,0,6
70,116,0,0,5,0,10
71,117,0,0,4,0,3
72,121,0,0,5,0,10
73,86,0,0,4,0,3
75,109,0,0,3,0,3
76,123,1,1,3,0,9
77,127,1,2,5,0,3
78,119,0,0,4,0,5
81,108,1,1,3,0,13
89,126,1,3,2,0,2
92,130,0,0,3,0,7
94,137,12,3,3,1,54
98,140,1,1,3,0,110
101,148,0,0,3,0,27
103,145,0,0,5,0,3
105,147,9,4,4,0,94
111,164,0,0,5,0,7
112,151,0,0,3,1,36
114,146,0,0,5,0,2
116,209,0,0,5,0,6
118,171,11,4,3,0,54
121,208,0,0,6,0,13
122,150,0,0,5,0,3
123,172,0,0,4,0,2
124,187,1,1,5,0,5
125,195,0,0,4,0,2
127,216,1,1,4,0,2
129,227,0,0,5,0,3
133,223,4,3,5,0,66
134,231,2,1,5,0,17
135,203,0,0,4,0,5
138,152,0,0,4,0,7
141,125,2,2,3,0,23
143,242,0,0,4,0,3
147,249,1,1,5,0,3
149,255,0,0,5,0,4
150,253,1,1,4,0,7
155,170,4,2,3,0,54
157,197,0,0,3,1,6
158,217,1,2,3,0,5
165,271,1,2,5,0,4
167,281,0,0,5,0,3
168,260,6,3,3,0,33
169,287,0,0,5,0,5
171,265,0,0,4,0,2
174,285,0,0,5,0,13
176,257,1,1,4,2,5
178,282,0,0,4,0,6
185,299,0,0,5,0,14
187,323,0,0,5,0,2
188,300,0,0,5,0,6
189,324,0,0,5,0,2
190,305,0,0,5,0,4
192,326,0,0,4,0,4
194,310,0,0,4,0,5
195,322,0,0,5,0,10
197,336,0,0,4,0,9
202,341,0,0,5,0,4
203,307,1,3,5,1,6
204,359,0,0,5,0,4
205,365,0,0,5,0,4
212,297,9,3,3,0,78
218,122,3,3,3,0,13
220,387,1,1,4,0,2
221,350,3,1,5,0,16
222,303,0,0,4,0,4
224,364,1,1,4,0,2
226,362,0,0,4,0,3
230,400,0,0,6,1,14
233,407,0,0,5,0,5
235,334,4,4,3,0,25
236,167,6,3,4,0,7
237,415,0,0,5,0,5
239,381,0,0,4,0,4
242,420,0,0,4,0,3
243,397,3,1,3,3,118
244,408,0,0,5,0,4
247,404,0,0,4,0,3
249,422,0,0,4,0,7
253,436,1,1,5,0,6
255,409,1,1,4,0,2
257,444,0,0,5,0,3
259,447,0,0,5,0,4
261,398,50,5,2,5,25
262,440,0,0,5,0,4
263,433,0,0,4,0,8
265,414,0,0,3,8,11
266,459,1,1,4,0,2
267,286,1,2,4,0,3
268,455,3,3,5,0,3
269,382,0,0,4,1,3
272,435,0,0,4,0,6
277,470,0,0,5,0,23
278,426,0,0,4,0,4
279,476,0,0,5,0,3
280,474,0,0,5,1,12
281,477,1,2,5,0,6
282,465,4,2,5,3,7
283,456,1,1,4,0,3
284,489,0,0,5,0,3
286,472,0,0,5,0,7
287,494,3,3,5,0,7
289,461,0,0,4,1,15
291,500,0,0,5,0,5
296,488,0,0,5,0,7
297,412,1,1,3,0,4
298,505,0,0,5,0,3
299,439,1,2,4,0,4
301,513,0,0,5,0,6
302,443,0,0,4,0,18
303,518,0,0,5,0,3
304,516,0,0,5,0,3
307,434,4,3,3,11,2
308,521,0,0,5,0,15
309,532,0,0,5,0,6
310,533,0,0,5,0,3
311,535,0,0,5,0,4
313,531,0,0,4,0,4
314,512,0,0,5,1,11
315,467,0,0,4,0,3
316,543,0,0,5,0,12
317,118,0,0,4,0,5
318,537,0,0,4,0,4
320,490,0,0,4,0,2
321,547,0,0,4,0,6
322,492,0,0,4,0,2
325,475,0,0,4,0,9
327,546,0,0,4,0,3
332,536,0,0,4,0,2
333,554,3,1,3,0,4
334,562,0,0,4,0,2
342,523,1,1,3,0,26
344,539,0,0,4,0,4
346,585,0,0,4,0,4
348,583,0,0,4,1,2
349,555,1,3,3,0,5
350,542,0,0,4,8,24
351,584,0,0,4,0,4
352,573,0,0,4,0,2
355,589,1,4,4,0,17
363,441,1,1,3,1,6
