day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,3,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,
2,,2,3,,,,,,,,,,,,
3,,2,4,,,,,,,,,,,,
4,1,4,4,,,,,,,,,,,,
5,1,4,4,,,,,,,,,,,,
6,3,2,8,,,,,,,,,,,,
7,5,2,8,,,,,,,,,,,,
8,7,2,8,,,,,,,,,,,,
9,7,5,4,,,,,,,,,,,,
10,5,,12,,,,,,,,,,,,
11,6,,12,,,,,,,,,,,,
12,6,,12,,,,,,,,,,,,
13,6,3,8,,,,,,,,,,,,
14,8,4,8,,,,,,,,,,,,
15,8,4,8,,,,,,,,,,,,
16,6,,17,,,,,,,,,,,,
17,6,,17,,,,,,,,,,,,
18,7,,17,,,,,,,,,,,,
19,9,,16,,,,,,,,,,,,
20,9,,,17,,,,,,,,,,,
21,13,,,17,,,,,,,,,,,
22,16,,,17,,,,,,,,,,,
23,16,,,17,,,,,,,,,,,
24,15,2,,19,,,,,,,,,,,
25,14,2,,21,,,,,,,,,,,
26,16,2,,22,,,,,,,,,,,
27,17,6,18,,,,,,,,,,,,
28,18,8,19,,,,,,,,,,,,
29,19,8,19,,,,,,,,,,,,
30,22,8,19,,,,,,,,,,,,
31,22,8,20,,,,,,,,,,,,
32,22,8,,24,,,,,,,,,,,
33,22,8,,24,,,,,,,,,,,
34,22,8,,24,,,,,,,,,,,
35,19,8,,32,,,,,,,,,,,
36,19,8,,33,,,,,,,,,,,
37,19,8,,33,,,,,,,,,,,
38,19,8,,34,,,,,,,,,,,
39,19,8,,35,,,,,,,,,,,
40,17,8,,41,,,,,,,,,,,
41,17,10,,39,,,,,,,,,,,
42,19,10,,40,,,,,,,,,,,
43,19,10,,40,,,,,,,,,,,
44,21,8,,40,,,,,,,,,,,
45,22,8,,38,,,,,,,,,,,
46,24,8,,37,,,,,,,,,,,
47,24,8,,39,,,,,,,,,,,
48,21,6,,,47,,,,,,,,,,
49,4,,,,,73.0,,,,,,,,,
50,5,,,,,73.0,,,,,,,,,
51,5,,,,,73.0,,,,,,,,,
52,5,,,,,75.0,,,,,,,,,
53,6,,,,,75.0,,,,,,,,,
54,7,,,,,77.0,,,,,,,,,
55,7,,,,,77.0,,,,,,,,,
56,7,,,,,80.0,,,,,,,,,
57,8,,,,,80.0,,,,,,,,,
58,8,,,,,80.0,,,,,,,,,
59,8,,,,,80.0,,,,,,,,,
60,9,,,,,80.0,,,,,,,,,
61,9,,,,,80.0,,,,,,,,,
62,10,,,,,80.0,,,,,,,,,
63,10,,,,,83.0,,,,,,,,,
64,11,,,,,83.0,,,,,,,,,
65,27,9,,,59,,,,,,,,,,
66,30,9,,,59,,,,,,,,,,
67,29,9,,,62,,,,,,,,,,
68,29,9,,,63,,,,,,,,,,
69,31,9,,,64,,,,,,,,,,
70,25,11,,,70,,,,,,,,,,
71,25,11,,,70,,,,,,,,,,
72,26,11,,,72,,,,,,,,,,
73,25,11,,,72,,,,,,,,,,
74,24,13,,,72,,,,,,,,,,
75,24,13,,,74,,,,,,,,,,
76,26,13,,,75,,,,,,,,,,
77,26,13,,,75,,,,,,,,,,
78,24,9,,,,85.0,,,,,,,,,
79,24,9,,,,85.0,,,,,,,,,
80,22,7,,,,,93.0,,,,,,,,
81,22,7,,,,,93.0,,,,,,,,
82,22,7,,,,,93.0,,,,,,,,
83,23,7,,,,,93.0,,,,,,,,
84,24,7,,,,,97.0,,,,,,,,
85,25,7,,,,,97.0,,,,,,,,
86,25,7,,,,,98.0,,,,,,,,
87,26,7,,,,,98.0,,,,,,,,
88,27,7,,,,,98.0,,,,,,,,
89,26,7,,,,,100.0,,,,,,,,
90,28,5,3,,,,100.0,,,,,,,,
91,28,5,,,,,104.0,,,,,,,,
92,28,5,,,,,104.0,,,,,,,,
93,29,5,,,,,105.0,,,,,,,,
94,29,5,,,,,106.0,,,,,,,,
95,30,5,,,,,106.0,,,,,,,,
96,30,3,,,,,115.0,,,,,,,,
97,31,3,,,,,115.0,,,,,,,,
98,32,3,,,,,117.0,,,,,,,,
99,34,3,,,,,116.0,,,,,,,,
100,34,3,,,,,125.0,,,,,,,,
101,35,3,,,,,123.0,,,,,,,,
102,35,3,,,,,124.0,,,,,,,,
103,35,3,,,,,123.0,,,,,,,,
104,35,5,,,,,124.0,,,,,,,,
105,35,2,,,,,131.0,,,,,,,,
106,37,2,,,,,132.0,,,,,,,,
107,38,2,,,,,130.0,,,,,,,,
108,39,2,,,,,130.0,,,,,,,,
109,39,2,,,,,129.0,,,,,,,,
110,43,4,,,,,131.0,,,,,,,,
111,43,4,,,,,131.0,,,,,,,,
112,41,4,,,,,133.0,,,,,,,,
113,41,4,,,,,133.0,,,,,,,,
114,41,4,,,,,136.0,,,,,,,,
115,41,4,,,,,136.0,,,,,,,,
116,41,4,,,,,136.0,,,,,,,,
117,43,4,,,,,137.0,,,,,,,,
118,44,4,,,,,137.0,,,,,,,,
119,44,4,,,,,137.0,,,,,,,,
120,43,4,,,,,143.0,,,,,,,,
121,44,6,,,,,139.0,,,,,,,,
122,44,6,,,,,138.0,,,,,,,,
123,44,6,,,,,139.0,,,,,,,,
124,42,4,,,,,146.0,,,,,,,,
125,43,4,,,,,146.0,,,,,,,,
126,44,4,,,,,148.0,,,,,,,,
127,45,4,,,,,148.0,,,,,,,,
128,45,4,,,,,149.0,,,,,,,,
129,45,4,,,,,149.0,,,,,,,,
130,48,4,,,,,149.0,,,,,,,,
131,48,4,,,,,149.0,,,,,,,,
132,47,4,,,,,152.0,,,,,,,,
133,48,4,,,,,154.0,,,,,,,,
134,48,4,,,,,155.0,,,,,,,,
135,48,6,,,,,153.0,,,,,,,,
136,49,6,,,,,153.0,,,,,,,,
137,49,6,,,,,153.0,,,,,,,,
138,49,6,,,,,154.0,,,,,,,,
139,50,4,,,,,153.0,,,,,,,,
140,52,2,,,,,158.0,,,,,,,,
141,52,2,,,,,158.0,,,,,,,,
142,52,2,,,,,159.0,,,,,,,,
143,52,2,,,,,159.0,,,,,,,,
144,53,2,,,,,159.0,,,,,,,,
145,53,2,,,,,159.0,,,,,,,,
146,53,2,,,,,160.0,,,,,,,,
147,53,2,,,,,162.0,,,,,,,,
148,47,2,,,,,,173.0,,,,,,,
149,47,2,,,,,,173.0,,,,,,,
150,47,2,,,,,,173.0,,,,,,,
151,48,2,,,,,,172.0,,,,,,,
152,48,2,,,,,,174.0,,,,,,,
153,51,2,,,,,,175.0,,,,,,,
154,52,2,,,,,,177.0,,,,,,,
155,52,2,,,,,,177.0,,,,,,,
156,51,2,,,,,,180.0,,,,,,,
157,50,2,,,,,,181.0,,,,,,,
158,50,2,,,,,,181.0,,,,,,,
159,50,2,,,,,,180.0,,,,,,,
160,52,2,,,,,,181.0,,,,,,,
161,52,2,,,,,,181.0,,,,,,,
162,52,2,,,,,,181.0,,,,,,,
163,53,2,,,,,,181.0,,,,,,,
164,54,2,,,,,,181.0,,,,,,,
165,57,2,,,,,,181.0,,,,,,,
