day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,3,,,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,,,
2,,2,3,,,,,,,,,,,,,,,,
3,,2,4,,,,,,,,,,,,,,,,
4,1,4,4,,,,,,,,,,,,,,,,
5,1,4,4,,,,,,,,,,,,,,,,
6,2,4,7,,,,,,,,,,,,,,,,
7,4,4,6,,,,,,,,,,,,,,,,
8,6,4,6,,,,,,,,,,,,,,,,
9,6,6,3,,,,,,,,,,,,,,,,
10,4,8,3,,,,,,,,,,,,,,,,
11,4,10,,,,,,,,,,,,,,,,,
12,4,11,,,,,,,,,,,,,,,,,
13,4,9,,,,,,,,,,,,,,,,,
14,6,10,,,,,,,,,,,,,,,,,
15,5,8,,,,,,,,,,,,,,,,,
16,5,,11,,,,,,,,,,,,,,,,
17,5,,10,,,,,,,,,,,,,,,,
18,6,,10,,,,,,,,,,,,,,,,
19,5,,10,,,,,,,,,,,,,,,,
20,4,,12,,,,,,,,,,,,,,,,
21,8,,12,,,,,,,,,,,,,,,,
22,10,,12,,,,,,,,,,,,,,,,
23,9,,12,,,,,,,,,,,,,,,,
24,10,,14,,,,,,,,,,,,,,,,
25,10,,15,,,,,,,,,,,,,,,,
26,12,,16,,,,,,,,,,,,,,,,
27,13,,17,,,,,,,,,,,,,,,,
28,14,2,,18,,,,,,,,,,,,,,,
29,15,2,,18,,,,,,,,,,,,,,,
30,17,2,,18,,,,,,,,,,,,,,,
31,16,4,,18,,,,,,,,,,,,,,,
32,17,2,,23,,,,,,,,,,,,,,,
33,16,2,,23,,,,,,,,,,,,,,,
34,16,2,,23,,,,,,,,,,,,,,,
35,14,4,,,28,,,,,,,,,,,,,,
36,14,4,,,29,,,,,,,,,,,,,,
37,14,4,,,29,,,,,,,,,,,,,,
38,14,4,,,29,,,,,,,,,,,,,,
39,12,6,,,29,,,,,,,,,,,,,,
40,8,8,,,34,,,,,,,,,,,,,,
41,9,6,,,34,,,,,,,,,,,,,,
42,11,6,,,35,,,,,,,,,,,,,,
43,12,4,,,35,,,,,,,,,,,,,,
44,14,4,,,35,,,,,,,,,,,,,,
45,14,4,,,34,,,,,,,,,,,,,,
46,16,4,,,34,,,,,,,,,,,,,,
47,14,4,,,36,,,,,,,,,,,,,,
48,10,4,,,,43.0,,,,,,,,,,,,,
49,1,,,,,,58.0,,,,,,,,,,,,
50,2,,,,,,58.0,,,,,,,,,,,,
51,2,,,,,,58.0,,,,,,,,,,,,
52,2,,,,,,60.0,,,,,,,,,,,,
53,3,,,,,,59.0,,,,,,,,,,,,
54,4,,,,,,61.0,,,,,,,,,,,,
55,4,,,,,,61.0,,,,,,,,,,,,
56,4,,,,,,64.0,,,,,,,,,,,,
57,5,,,,,,64.0,,,,,,,,,,,,
58,5,,,,,,63.0,,,,,,,,,,,,
59,5,,,,,,63.0,,,,,,,,,,,,
60,6,,,,,,63.0,,,,,,,,,,,,
61,6,,,,,,63.0,,,,,,,,,,,,
62,7,,,,,,63.0,,,,,,,,,,,,
63,9,,,,,,65.0,,,,,,,,,,,,
64,8,2,,,,,65.0,,,,,,,,,,,,
65,15,6,3,,,,52.0,,,,,,,,,,,,
66,17,6,3,,,,52.0,,,,,,,,,,,,
67,15,8,3,,,,53.0,,,,,,,,,,,,
68,16,8,3,,,,54.0,,,,,,,,,,,,
69,19,7,3,,,,54.0,,,,,,,,,,,,
70,17,4,3,,,,61.0,,,,,,,,,,,,
71,16,4,3,,,,61.0,,,,,,,,,,,,
72,16,4,3,,,,63.0,,,,,,,,,,,,
73,15,4,3,,,,62.0,,,,,,,,,,,,
74,14,4,3,,,,63.0,,,,,,,,,,,,
75,14,4,3,,,,65.0,,,,,,,,,,,,
76,16,4,3,,,,65.0,,,,,,,,,,,,
77,16,4,3,,,,65.0,,,,,,,,,,,,
78,15,2,3,,,,,72.0,,,,,,,,,,,
79,16,2,3,,,,,70.0,,,,,,,,,,,
80,11,2,3,,,,,80.0,,,,,,,,,,,
81,11,2,3,,,,,80.0,,,,,,,,,,,
82,11,2,3,,,,,80.0,,,,,,,,,,,
83,12,2,3,,,,,80.0,,,,,,,,,,,
84,13,2,3,,,,,84.0,,,,,,,,,,,
85,15,2,3,,,,,82.0,,,,,,,,,,,
86,15,2,3,,,,,84.0,,,,,,,,,,,
87,16,2,3,,,,,83.0,,,,,,,,,,,
88,18,2,3,,,,,84.0,,,,,,,,,,,
89,18,2,3,,,,,84.0,,,,,,,,,,,
90,19,2,3,,,,,86.0,,,,,,,,,,,
91,18,2,3,,,,,,86.0,,,,,,,,,,
92,18,2,3,,,,,,86.0,,,,,,,,,,
93,18,4,,,,,,,87.0,,,,,,,,,,
94,18,4,,,,,,,88.0,,,,,,,,,,
95,19,4,,,,,,,88.0,,,,,,,,,,
96,19,2,,,,,,,,97.0,,,,,,,,,
97,20,2,,,,,,,,97.0,,,,,,,,,
98,21,2,,,,,,,,99.0,,,,,,,,,
99,22,2,,,,,,,,100.0,,,,,,,,,
100,20,,,,,,,,,113.0,,,,,,,,,
101,20,,,,,,,,,113.0,,,,,,,,,
102,20,,,,,,,,,114.0,,,,,,,,,
103,20,,,,,,,,,113.0,,,,,,,,,
104,21,,,,,,,,,,115.0,,,,,,,,
105,22,,,,,,,,,,118.0,,,,,,,,
106,24,,,,,,,,,,119.0,,,,,,,,
107,23,,,,,,,,,,119.0,,,,,,,,
108,24,,,,,,,,,,118.0,,,,,,,,
109,24,,,,,,,,,,117.0,,,,,,,,
110,29,,,,,,,,,,121.0,,,,,,,,
111,29,,,,,,,,,,121.0,,,,,,,,
112,29,,,,,,,,,,122.0,,,,,,,,
113,32,,,,,,,,,,118.0,,,,,,,,
114,32,,,,,,,,,,121.0,,,,,,,,
115,32,,,,,,,,,,121.0,,,,,,,,
116,32,,,,,,,,,,121.0,,,,,,,,
117,33,2,,,,,,,,,121.0,,,,,,,,
118,34,2,,,,,,,,,121.0,,,,,,,,
119,34,2,,,,,,,,,121.0,,,,,,,,
120,32,2,,,,,,,,,127.0,,,,,,,,
121,32,2,,,,,,,,,127.0,,,,,,,,
122,32,2,,,,,,,,,124.0,,,,,,,,
123,31,4,,,,,,,,,124.0,,,,,,,,
124,31,4,,,,,,,,,127.0,,,,,,,,
125,32,4,,,,,,,,,127.0,,,,,,,,
126,34,4,,,,,,,,,129.0,,,,,,,,
127,35,4,,,,,,,,,128.0,,,,,,,,
128,35,4,,,,,,,,,,129.0,,,,,,,
129,34,4,,,,,,,,,,129.0,,,,,,,
130,37,4,,,,,,,,,,129.0,,,,,,,
131,37,4,,,,,,,,,,129.0,,,,,,,
132,36,4,,,,,,,,,,132.0,,,,,,,
133,37,4,,,,,,,,,,134.0,,,,,,,
134,37,4,,,,,,,,,,135.0,,,,,,,
135,37,4,,,,,,,,,,136.0,,,,,,,
136,38,4,,,,,,,,,,136.0,,,,,,,
137,38,4,,,,,,,,,,135.0,,,,,,,
138,38,4,,,,,,,,,,136.0,,,,,,,
