day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,3,,,,,,,,,,
1,,,3,,,,,,,,,,
2,,,5,,,,,,,,,,
3,,,6,,,,,,,,,,
4,2,,7,,,,,,,,,,
5,2,,7,,,,,,,,,,
6,4,,9,,,,,,,,,,
7,6,,9,,,,,,,,,,
8,8,,9,,,,,,,,,,
9,8,,8,,,,,,,,,,
10,6,,11,,,,,,,,,,
11,6,,11,,,,,,,,,,
12,6,,11,,,,,,,,,,
13,6,,11,,,,,,,,,,
14,8,,11,,,,,,,,,,
15,8,,11,,,,,,,,,,
16,7,,,15,,,,,,,,,
17,7,,,15,,,,,,,,,
18,7,,,15,,,,,,,,,
19,9,,,15,,,,,,,,,
20,8,,,18,,,,,,,,,
21,12,,,17,,,,,,,,,
22,15,,,17,,,,,,,,,
23,15,,,17,,,,,,,,,
24,15,,,19,,,,,,,,,
25,14,,,22,,,,,,,,,
26,16,,,23,,,,,,,,,
27,17,,,24,,,,,,,,,
28,18,2,,25,,,,,,,,,
29,19,2,,25,,,,,,,,,
30,22,2,,25,,,,,,,,,
31,25,2,4,18,,,,,,,,,
32,24,2,4,23,,,,,,,,,
33,24,2,4,23,,,,,,,,,
34,24,2,4,23,,,,,,,,,
35,20,2,4,,32,,,,,,,,
36,20,2,4,,33,,,,,,,,
37,20,2,4,,33,,,,,,,,
38,20,2,4,,34,,,,,,,,
39,20,2,4,,35,,,,,,,,
40,17,2,4,,42,,,,,,,,
41,16,2,3,,44,,,,,,,,
42,18,2,3,,45,,,,,,,,
43,18,2,3,,45,,,,,,,,
44,20,2,3,,45,,,,,,,,
45,20,2,3,,45,,,,,,,,
46,22,2,3,,45,,,,,,,,
47,22,2,3,,47,,,,,,,,
48,20,,3,,,54.0,,,,,,,
49,4,,,,,,76.0,,,,,,
50,5,,,,,,76.0,,,,,,
51,5,,,,,,75.0,,,,,,
52,5,,,,,,76.0,,,,,,
53,6,,,,,,76.0,,,,,,
54,7,,,,,,78.0,,,,,,
55,7,,,,,,78.0,,,,,,
56,7,,,,,,81.0,,,,,,
57,8,,,,,,81.0,,,,,,
58,8,,,,,,81.0,,,,,,
59,8,,,,,,81.0,,,,,,
60,9,,,,,,81.0,,,,,,
61,9,,,,,,81.0,,,,,,
62,10,,,,,,81.0,,,,,,
63,11,,,,,,84.0,,,,,,
64,12,,,,,,85.0,,,,,,
65,13,,,,,,86.0,,,,,,
66,31,8,4,,,57.0,,,,,,,
67,31,8,4,,,59.0,,,,,,,
68,32,8,4,,,60.0,,,,,,,
69,33,11,4,,,60.0,,,,,,,
70,28,13,,,,69.0,,,,,,,
71,28,13,,,,70.0,,,,,,,
72,29,13,,,,72.0,,,,,,,
73,29,13,,,,71.0,,,,,,,
74,29,13,,,,72.0,,,,,,,
75,28,13,,,,75.0,,,,,,,
76,30,13,,,,76.0,,,,,,,
77,30,13,,,,76.0,,,,,,,
78,28,6,,,,,89.0,,,,,,
79,28,6,,,,,89.0,,,,,,
80,25,6,,,,,96.0,,,,,,
81,25,6,,,,,96.0,,,,,,
82,25,6,,,,,96.0,,,,,,
83,26,6,,,,,96.0,,,,,,
84,26,8,,,,,99.0,,,,,,
85,27,8,,,,,99.0,,,,,,
86,28,8,,,,,100.0,,,,,,
87,29,8,,,,,100.0,,,,,,
88,31,8,,,,,101.0,,,,,,
89,31,8,,,,,102.0,,,,,,
90,33,8,,,,,103.0,,,,,,
91,34,12,,,,,98.0,,,,,,
92,34,12,,,,,98.0,,,,,,
93,35,12,,,,,99.0,,,,,,
94,35,12,,,,,100.0,,,,,,
95,36,12,,,,,100.0,,,,,,
96,33,8,,,,,114.0,,,,,,
97,34,8,,,,,114.0,,,,,,
98,35,8,,,,,116.0,,,,,,
99,36,8,,,,,117.0,,,,,,
100,37,4,,,,,128.0,,,,,,
101,37,4,,,,,128.0,,,,,,
102,37,4,,,,,128.0,,,,,,
103,37,4,,,,,128.0,,,,,,
104,37,4,,,,,131.0,,,,,,
105,36,4,,,,,136.0,,,,,,
106,38,4,,,,,137.0,,,,,,
107,38,4,,,,,137.0,,,,,,
108,39,4,,,,,137.0,,,,,,
109,39,4,,,,,137.0,,,,,,
110,43,6,,,,,140.0,,,,,,
111,46,9,,,,,133.0,,,,,,
112,44,9,,,,,136.0,,,,,,
113,44,9,,,,,135.0,,,,,,
114,43,9,,,,,139.0,,,,,,
115,43,9,,,,,139.0,,,,,,
116,43,9,,,,,139.0,,,,,,
117,45,9,,,,,140.0,,,,,,
118,46,9,,,,,139.0,,,,,,
119,46,9,,,,,139.0,,,,,,
120,41,11,,,,,147.0,,,,,,
121,41,11,,,,,147.0,,,,,,
122,41,11,,,,,147.0,,,,,,
123,41,11,,,,,148.0,,,,,,
124,41,11,,,,,,151.0,,,,,
125,42,11,,,,,,151.0,,,,,
126,43,11,,,,,,154.0,,,,,
127,44,16,,,,,,148.0,,,,,
128,42,16,,,,,,,151.0,,,,
129,42,16,,,,,,,151.0,,,,
130,45,16,,,,,,,151.0,,,,
131,45,16,,,,,,,151.0,,,,
132,46,16,,,,,,,152.0,,,,
133,47,16,,,,,,,154.0,,,,
134,45,19,,,,,,,153.0,,,,
135,45,20,,,,,,,153.0,,,,
136,46,20,,,,,,,153.0,,,,
137,46,20,,,,,,,153.0,,,,
138,46,20,,,,,,,154.0,,,,
139,48,20,,,,,,151.0,,,,,
140,50,16,,,,,,157.0,,,,,
141,50,16,,,,,,157.0,,,,,
142,50,16,,,,,,158.0,,,,,
143,50,16,,,,,,158.0,,,,,
144,50,16,,,,,,159.0,,,,,
145,50,16,,,,,,159.0,,,,,
146,51,16,,,,,,160.0,,,,,
147,52,16,,,,,,161.0,,,,,
148,49,14,,,,,,,171.0,,,,
149,49,14,,,,,,,171.0,,,,
150,49,14,,,,,,,171.0,,,,
151,50,14,,,,,,,171.0,,,,
152,50,14,,,,,,,173.0,,,,
153,53,14,,,,,,,174.0,,,,
154,53,14,,,,,,,177.0,,,,
155,52,14,,,,,,,178.0,,,,
156,51,14,,,,,,,180.0,,,,
157,51,14,,,,,,,181.0,,,,
158,51,14,,,,,,,181.0,,,,
159,50,11,,,,,,,186.0,,,,
160,52,11,,,,,,,188.0,,,,
161,52,11,,,,,,,188.0,,,,
162,52,11,,,,,,,188.0,,,,
163,53,11,,,,,,,188.0,,,,
164,54,11,,,,,,,188.0,,,,
165,57,11,,,,,,,188.0,,,,
166,54,13,,,,,,,191.0,,,,
167,54,13,,,,,,,191.0,,,,
168,53,16,,,,,,,191.0,,,,
169,54,16,,,,,,,191.0,,,,
170,55,16,,,,,,,191.0,,,,
171,55,14,,,,,,,194.0,,,,
172,53,7,,,,,,,208.0,,,,
173,53,7,,,,,,,207.0,,,,
174,54,7,,,,,,,208.0,,,,
175,55,7,,,,,,,209.0,,,,
176,57,5,,,,,,,214.0,,,,
177,57,5,,,,,,,215.0,,,,
178,60,5,,,,,,,216.0,,,,
179,63,5,,,,,,,212.0,,,,
180,64,5,,,,,,,220.0,,,,
