day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,3,,,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,,,
4,2,,7,,,,,,,,,,,,,,,,
5,2,,7,,,,,,,,,,,,,,,,
6,4,,9,,,,,,,,,,,,,,,,
7,6,,9,,,,,,,,,,,,,,,,
8,8,,9,,,,,,,,,,,,,,,,
9,8,,8,,,,,,,,,,,,,,,,
10,6,,11,,,,,,,,,,,,,,,,
11,6,,11,,,,,,,,,,,,,,,,
12,6,,11,,,,,,,,,,,,,,,,
13,6,,10,,,,,,,,,,,,,,,,
14,8,,11,,,,,,,,,,,,,,,,
15,8,,10,,,,,,,,,,,,,,,,
16,6,,,15,,,,,,,,,,,,,,,
17,6,,,15,,,,,,,,,,,,,,,
18,7,,,15,,,,,,,,,,,,,,,
19,8,,,15,,,,,,,,,,,,,,,
20,7,,,18,,,,,,,,,,,,,,,
21,11,,,18,,,,,,,,,,,,,,,
22,14,,,18,,,,,,,,,,,,,,,
23,13,,,18,,,,,,,,,,,,,,,
24,13,,,21,,,,,,,,,,,,,,,
25,14,,,20,,,,,,,,,,,,,,,
26,16,,,21,,,,,,,,,,,,,,,
27,17,,,22,,,,,,,,,,,,,,,
28,18,2,,23,,,,,,,,,,,,,,,
29,19,2,,23,,,,,,,,,,,,,,,
30,22,2,,23,,,,,,,,,,,,,,,
31,21,2,,24,,,,,,,,,,,,,,,
32,20,2,,29,,,,,,,,,,,,,,,
33,20,2,,29,,,,,,,,,,,,,,,
34,20,2,,28,,,,,,,,,,,,,,,
35,17,2,,36,,,,,,,,,,,,,,,
36,17,2,,,37,,,,,,,,,,,,,,
37,17,2,,,37,,,,,,,,,,,,,,
38,17,2,,,38,,,,,,,,,,,,,,
39,17,2,,,39,,,,,,,,,,,,,,
40,15,2,,,45,,,,,,,,,,,,,,
41,15,2,,,46,,,,,,,,,,,,,,
42,17,2,,,47,,,,,,,,,,,,,,
43,17,2,,,47,,,,,,,,,,,,,,
44,19,2,,,47,,,,,,,,,,,,,,
45,20,2,,,45,,,,,,,,,,,,,,
46,22,2,,,45,,,,,,,,,,,,,,
47,22,2,,,47,,,,,,,,,,,,,,
48,20,,,,54,,,,,,,,,,,,,,
49,6,,,,,71.0,,,,,,,,,,,,,
50,7,,,,,71.0,,,,,,,,,,,,,
51,6,,,,,71.0,,,,,,,,,,,,,
52,6,,,,,73.0,,,,,,,,,,,,,
53,7,,,,,73.0,,,,,,,,,,,,,
54,8,,,,,75.0,,,,,,,,,,,,,
55,8,,,,,75.0,,,,,,,,,,,,,
56,8,,,,,78.0,,,,,,,,,,,,,
57,9,,,,,78.0,,,,,,,,,,,,,
58,9,,,,,78.0,,,,,,,,,,,,,
59,9,,,,,78.0,,,,,,,,,,,,,
60,10,,,,,78.0,,,,,,,,,,,,,
61,10,,,,,78.0,,,,,,,,,,,,,
62,10,,,,,78.0,,,,,,,,,,,,,
63,12,,,,,80.0,,,,,,,,,,,,,
64,13,,,,,81.0,,,,,,,,,,,,,
65,14,,,,,82.0,,,,,,,,,,,,,
66,17,,,,,82.0,,,,,,,,,,,,,
67,17,,,,,84.0,,,,,,,,,,,,,
68,18,,,,,85.0,,,,,,,,,,,,,
69,19,3,,,,85.0,,,,,,,,,,,,,
70,17,,,,,92.0,,,,,,,,,,,,,
71,17,,,,,93.0,,,,,,,,,,,,,
72,18,,,,,95.0,,,,,,,,,,,,,
73,27,2,5,,,78.0,,,,,,,,,,,,,
74,27,2,5,,,79.0,,,,,,,,,,,,,
75,27,2,5,,,82.0,,,,,,,,,,,,,
76,29,2,5,,,,83.0,,,,,,,,,,,,
77,29,2,5,,,,83.0,,,,,,,,,,,,
78,26,2,5,,,,,89.0,,,,,,,,,,,
79,26,2,5,,,,,89.0,,,,,,,,,,,
80,26,2,5,,,,,94.0,,,,,,,,,,,
81,26,2,5,,,,,94.0,,,,,,,,,,,
82,26,2,5,,,,,94.0,,,,,,,,,,,
83,27,2,5,,,,,94.0,,,,,,,,,,,
84,28,2,5,,,,,,98.0,,,,,,,,,,
85,29,2,5,,,,,,98.0,,,,,,,,,,
86,30,2,5,,,,,,99.0,,,,,,,,,,
87,31,2,5,,,,,,99.0,,,,,,,,,,
88,33,2,5,,,,,,100.0,,,,,,,,,,
89,33,,5,,,,,,103.0,,,,,,,,,,
90,35,,5,,,,,,104.0,,,,,,,,,,
91,35,,5,,,,,,105.0,,,,,,,,,,
92,35,2,5,,,,,,102.0,,,,,,,,,,
93,36,2,5,,,,,,103.0,,,,,,,,,,
94,36,6,,,,,,,103.0,,,,,,,,,,
95,37,6,,,,,,,103.0,,,,,,,,,,
96,34,2,,,,,,,117.0,,,,,,,,,,
97,35,2,,,,,,,117.0,,,,,,,,,,
98,36,2,,,,,,,119.0,,,,,,,,,,
99,37,2,,,,,,,120.0,,,,,,,,,,
100,36,2,,,,,,,129.0,,,,,,,,,,
101,36,2,,,,,,,129.0,,,,,,,,,,
102,36,2,,,,,,,130.0,,,,,,,,,,
103,36,2,,,,,,,130.0,,,,,,,,,,
104,36,2,,,,,,,132.0,,,,,,,,,,
105,37,2,,,,,,,135.0,,,,,,,,,,
106,39,2,,,,,,,136.0,,,,,,,,,,
107,39,2,,,,,,,136.0,,,,,,,,,,
108,40,2,,,,,,,136.0,,,,,,,,,,
109,40,2,,,,,,,135.0,,,,,,,,,,
110,45,2,,,,,,,139.0,,,,,,,,,,
111,45,2,,,,,,,139.0,,,,,,,,,,
112,43,2,,,,,,,142.0,,,,,,,,,,
113,42,2,,,,,,,142.0,,,,,,,,,,
114,41,2,,,,,,,146.0,,,,,,,,,,
115,41,4,,,,,,,143.0,,,,,,,,,,
116,41,4,,,,,,,143.0,,,,,,,,,,
117,43,4,,,,,,,144.0,,,,,,,,,,
118,44,4,,,,,,,144.0,,,,,,,,,,
119,44,4,,,,,,,144.0,,,,,,,,,,
120,43,2,,,,,,,152.0,,,,,,,,,,
121,43,2,,,,,,,152.0,,,,,,,,,,
122,44,4,,,,,,,148.0,,,,,,,,,,
123,44,4,,,,,,,149.0,,,,,,,,,,
124,44,4,,,,,,,151.0,,,,,,,,,,
125,45,4,,,,,,,151.0,,,,,,,,,,
126,46,4,,,,,,,154.0,,,,,,,,,,
127,47,4,,,,,,,154.0,,,,,,,,,,
128,45,2,,,,,,,159.0,,,,,,,,,,
129,45,2,,,,,,,159.0,,,,,,,,,,
130,48,2,,,,,,,159.0,,,,,,,,,,
131,48,2,,,,,,,159.0,,,,,,,,,,
132,48,2,,,,,,,161.0,,,,,,,,,,
133,49,2,,,,,,,163.0,,,,,,,,,,
134,47,5,,,,,,,162.0,,,,,,,,,,
135,47,6,,,,,,,162.0,,,,,,,,,,
136,48,6,,,,,,,161.0,,,,,,,,,,
137,48,6,,,,,,,161.0,,,,,,,,,,
138,48,6,,,,,,,162.0,,,,,,,,,,
