day_counter,0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,3,,,,,,,,,,,,,,,,,
1,,,3,,,,,,,,,,,,,,,,,
2,,,5,,,,,,,,,,,,,,,,,
3,,,6,,,,,,,,,,,,,,,,,
4,2,,,7,,,,,,,,,,,,,,,,
5,2,,,7,,,,,,,,,,,,,,,,
6,4,,,9,,,,,,,,,,,,,,,,
7,6,,,8,,,,,,,,,,,,,,,,
8,8,,,8,,,,,,,,,,,,,,,,
9,8,,,7,,,,,,,,,,,,,,,,
10,6,,,9,,,,,,,,,,,,,,,,
11,7,,,9,,,,,,,,,,,,,,,,
12,6,,,10,,,,,,,,,,,,,,,,
13,6,,,10,,,,,,,,,,,,,,,,
14,8,,,11,,,,,,,,,,,,,,,,
15,7,,,11,,,,,,,,,,,,,,,,
16,6,,,,15,,,,,,,,,,,,,,,
17,5,,,,15,,,,,,,,,,,,,,,
18,6,,,,15,,,,,,,,,,,,,,,
19,8,,,,15,,,,,,,,,,,,,,,
20,7,,,,18,,,,,,,,,,,,,,,
21,11,,,,18,,,,,,,,,,,,,,,
22,14,,,,18,,,,,,,,,,,,,,,
23,14,,,,18,,,,,,,,,,,,,,,
24,14,,,,21,,,,,,,,,,,,,,,
25,14,,,,23,,,,,,,,,,,,,,,
26,16,,,,24,,,,,,,,,,,,,,,
27,17,,,,25,,,,,,,,,,,,,,,
28,17,2,,,,26.0,,,,,,,,,,,,,,
29,18,2,,,,26.0,,,,,,,,,,,,,,
30,21,2,,,,26.0,,,,,,,,,,,,,,
31,20,4,,,,26.0,,,,,,,,,,,,,,
32,21,4,,,,29.0,,,,,,,,,,,,,,
33,22,4,,,,27.0,,,,,,,,,,,,,,
34,22,4,,,,27.0,,,,,,,,,,,,,,
35,18,2,,,,,36.0,,,,,,,,,,,,,
36,18,2,,,,,37.0,,,,,,,,,,,,,
37,18,2,,,,,37.0,,,,,,,,,,,,,
38,18,2,,,,,38.0,,,,,,,,,,,,,
39,18,2,,,,,39.0,,,,,,,,,,,,,
40,16,2,,,,,,45.0,,,,,,,,,,,,
41,15,2,,,,,,47.0,,,,,,,,,,,,
42,17,2,,,,,,48.0,,,,,,,,,,,,
43,17,2,,,,,,47.0,,,,,,,,,,,,
44,19,2,,,,,,47.0,,,,,,,,,,,,
45,19,2,,,,,,47.0,,,,,,,,,,,,
46,21,4,,,,,,44.0,,,,,,,,,,,,
47,21,4,,,,,,46.0,,,,,,,,,,,,
48,19,2,,,,,,,52.0,,,,,,,,,,,
49,3,2,,,,,,,,71.0,,,,,,,,,,
