day_counter,0,1,2,3,4,5,6,7
0,,,3,,,,,
1,,,3,,,,,
2,,2,3,,,,,
3,,2,4,,,,,
4,2,2,5,,,,,
5,2,2,5,,,,,
6,3,2,8,,,,,
7,5,2,8,,,,,
8,7,2,8,,,,,
9,7,2,7,,,,,
10,5,,4,7,,,,
11,6,,3,7,,,,
12,5,2,3,7,,,,
13,5,4,,7,,,,
14,6,4,,8,,,,
15,7,2,,8,,,,
16,5,3,,12,,,,
17,5,3,,12,,,,
18,6,3,,12,,,,
19,8,3,,12,,,,
20,8,3,,13,,,,
21,13,3,,11,,,,
22,16,3,,11,,,,
23,16,3,,11,,,,
24,15,6,,12,,,,
25,14,3,,18,,,,
26,17,3,,17,,,,
27,18,3,,18,,,,
28,20,3,,20,,,,
29,25,3,4,11,,,,
30,28,3,4,11,,,,
31,27,5,4,11,,,,
32,27,4,,19,,,,
33,27,4,,19,,,,
34,28,2,,19,,,,
35,23,4,,26,,,,
36,23,4,,27,,,,
37,23,4,,27,,,,
38,23,4,,28,,,,
39,24,4,,27,,,,
40,22,2,,35,,,,
41,21,2,,37,,,,
42,23,2,,37,,,,
43,23,2,,37,,,,
44,25,2,,37,,,,
45,26,4,,33,,,,
46,29,4,30,,,,,
47,29,4,32,,,,,
48,23,2,42,,,,,
49,3,,,67,,,,
50,4,,,66,,,,
51,4,,,66,,,,
52,4,,,68,,,,
53,5,,,68,,,,
54,6,,,70,,,,
55,6,,,70,,,,
56,5,,,74,,,,
57,6,,,74,,,,
58,6,,,74,,,,
59,6,,,74,,,,
60,7,,,74,,,,
61,7,,,74,,,,
62,9,,,71,,,,
63,11,,,73,,,,
64,12,,,73,,,,
65,29,17,5,35,,,,
66,32,16,5,35,,,,
67,30,6,19,35,,,,
68,31,6,20,35,,,,
69,33,9,20,32,,,,
70,28,8,,60,,,,
71,28,8,,61,,,,
72,29,8,,63,,,,
73,29,8,,63,,,,
74,30,14,,56,,,,
75,31,14,,,57,,,
76,32,16,,,57,,,
77,32,16,,,57,,,
78,28,14,,,66,,,
79,28,14,,,65,,,
80,26,12,,,74,,,
81,26,12,,,74,,,
82,27,16,,,67,,,
83,28,16,,,67,,,
84,28,14,,,74,,,
85,29,14,,,74,,,
86,30,14,,,75,,,
87,31,14,,,75,,,
88,33,14,,,76,,,
89,33,14,,,77,,,
90,35,12,,,,79.0,,
91,34,12,,,,81.0,,
92,34,12,,,,81.0,,
93,34,10,,,,84.0,,
94,33,10,,,,86.0,,
95,34,12,,,,82.0,,
96,31,4,,,,100.0,,
97,32,4,,,,100.0,,
98,33,4,,,,102.0,,
99,34,4,,,,103.0,,
100,35,4,,,,111.0,,
101,35,4,,,,111.0,,
102,34,4,,,111,,,
103,34,4,,,110,,,
104,36,4,4,,106,,,
105,36,4,4,,110,,,
106,38,4,4,,111,,,
107,38,4,4,,111,,,
108,39,4,4,,111,,,
109,39,4,4,,110,,,
110,43,6,4,,113,,,
111,43,6,4,,113,,,
112,42,6,4,,114,,,
113,42,6,4,,114,,,
114,42,6,4,,117,,,
115,46,8,4,,110,,,
116,46,8,4,,110,,,
117,48,8,4,,110,,,
118,49,8,4,,110,,,
119,49,8,4,,109,,,
120,46,8,4,,117,,,
121,46,8,4,,117,,,
122,46,8,4,,116,,,
123,46,8,4,,117,,,
124,44,8,4,,122,,,
125,45,8,4,,121,,,
126,47,8,4,,123,,,
127,48,8,4,,123,,,
128,47,8,4,,124,,,
129,47,8,4,,124,,,
130,52,8,4,,120,,,
131,52,8,4,,119,,,
132,53,8,4,,,120.0,,
133,54,8,4,,,122.0,,
134,53,8,4,,,124.0,,
135,54,8,4,,,123.0,,
136,55,8,4,,,123.0,,
137,55,10,4,,,120.0,,
138,55,10,4,,,121.0,,
139,55,10,4,,,121.0,,
140,57,10,,,,128.0,,
141,57,10,,,,128.0,,
142,57,10,,,,129.0,,
143,57,10,,,,128.0,,
144,56,8,,,,133.0,,
145,56,8,,,,133.0,,
146,57,8,,,,134.0,,
147,58,8,,,,135.0,,
148,53,6,,,,146.0,,
149,53,6,,,,146.0,,
150,53,6,,,,146.0,,
151,56,6,,,,143.0,,
152,55,6,,,,145.0,,
153,58,6,,,,146.0,,
154,59,6,,,,147.0,,
155,58,6,,,,149.0,,
156,58,6,,,,151.0,,
157,58,6,,,,151.0,,
158,58,6,,,,151.0,,
159,57,6,,,,153.0,,
160,59,6,,,,155.0,,
161,60,8,,,,151.0,,
162,61,8,,,,149.0,,
163,62,10,4,,,142.0,,
164,64,10,4,,,140.0,,
165,67,10,4,,,140.0,,
166,66,10,4,,,144.0,,
167,66,10,4,,,144.0,,
168,67,10,4,,,145.0,,
169,68,10,4,,,145.0,,
170,69,10,4,,,145.0,,
171,68,10,4,,,146.0,,
172,64,10,,,,159.0,,
173,64,12,,,,156.0,,
174,65,12,,,,,156.0,
175,66,12,,,,,156.0,
176,66,12,,,,,161.0,
177,66,12,,,,,162.0,
178,69,12,,,,,163.0,
179,70,12,,,,,161.0,
180,70,12,,,,,170.0,
181,74,12,,,,,170.0,
182,75,12,,,,,168.0,
183,75,14,,,,,169.0,
184,74,14,,,,,170.0,
185,75,14,,,,,170.0,
186,76,14,,,,,170.0,
187,76,14,,,,,171.0,
188,74,16,,,,,171.0,
189,79,20,5,,,,157.0,
190,80,20,5,,,,157.0,
191,80,20,5,,,,157.0,
192,81,20,5,,,,160.0,
193,81,20,5,,,,160.0,
194,83,20,5,,,,160.0,
195,83,20,5,,,,160.0,
196,82,20,5,,,,163.0,
197,85,20,5,,,,161.0,
198,85,20,5,,,,163.0,
199,83,20,5,5,,,161.0,
200,87,20,5,5,,,163.0,
201,89,20,5,5,,,163.0,
202,91,22,5,6,,,163.0,
203,89,22,5,6,,,166.0,
204,91,22,5,6,,,166.0,
205,90,24,5,6,,,166.0,
206,90,24,5,6,,,167.0,
207,92,24,5,6,,,167.0,
208,91,24,,,,,185.0,
209,91,24,,,,,185.0,
210,94,24,,,,,187.0,
211,95,24,,,,,187.0,
212,95,24,,,,,186.0,
213,95,24,,,,,186.0,
214,95,24,,,,,186.0,
215,95,24,,,,,187.0,
216,98,24,,,,,185.0,
217,98,24,,,,,185.0,
218,103,24,,,,,180.0,
219,103,24,,,,,180.0,
220,102,22,,,,,186.0,
221,102,22,,,,,186.0,
222,82,20,,,,,209.0,
223,83,20,,,,,209.0,
224,84,20,,,,,211.0,
225,84,20,,,,,212.0,
226,84,20,,,,,212.0,
227,85,20,,,,,212.0,
228,87,22,,,,,212.0,
229,87,22,,,,,212.0,
230,85,22,,,,,218.0,
231,85,22,,,,,219.0,
232,85,22,,,,,218.0,
233,85,22,,,,,218.0,
234,85,22,,,,,220.0,
235,86,22,,,,,219.0,
236,83,22,,,,,224.0,
237,83,22,,,,,224.0,
238,83,22,,,,,227.0,
239,83,22,,,,,227.0,
240,83,22,,,,,228.0,
241,83,22,,,,,227.0,
242,83,22,,,,,228.0,
243,83,22,,,,,228.0,
244,100,24,,,,,208.0,
245,101,24,,,,,208.0,
