date,bug_id,degree,depth,severity,votes,comment_count
9,0,2,2,3,0,5
11,4,1,1,3,0,3
13,1,0,0,3,0,9
14,8,0,0,1,0,8
18,21,0,0,5,1,6
21,17,2,1,3,1,54
22,11,1,1,4,0,9
23,6,0,0,5,0,15
26,30,0,0,3,0,7
31,25,2,2,3,2,12
32,22,0,0,4,0,2
33,48,1,1,4,0,4
36,56,1,1,5,0,14
45,41,3,1,5,0,2
48,39,1,1,4,1,3
57,66,2,6,3,6,4
62,98,2,1,3,0,10
68,85,8,1,3,0,28
69,64,0,0,3,0,8
75,83,0,0,3,0,5
78,63,0,0,3,0,59
79,125,0,0,3,0,23
82,114,0,0,3,0,4
90,126,0,0,2,0,2
92,136,0,0,3,0,3
93,137,12,3,3,1,54
99,140,15,3,3,0,110
101,161,4,3,3,0,54
102,148,0,0,3,0,27
103,147,0,0,4,0,94
106,170,2,1,3,0,54
111,138,5,2,3,0,64
114,171,13,2,3,0,54
116,168,4,2,3,0,34
119,180,5,2,3,4,18
123,160,0,0,3,0,12
125,186,0,0,3,0,16
128,218,2,2,3,0,9
132,224,2,1,3,0,28
134,223,2,2,5,0,66
137,231,6,3,5,0,17
139,185,1,1,3,0,11
144,169,3,1,3,5,16
145,181,0,0,3,1,41
148,248,4,1,3,0,17
149,249,3,1,5,0,3
152,167,2,1,4,0,7
155,251,5,3,3,0,24
158,236,0,0,3,26,15
163,260,6,2,3,0,33
164,247,6,1,3,0,2
175,257,1,4,4,2,5
179,241,0,0,3,0,2
181,296,9,2,3,0,13
182,275,1,1,3,0,1
187,306,3,4,3,0,6
189,297,8,5,3,0,78
192,292,0,0,3,0,3
195,330,0,0,3,0,27
204,256,4,4,3,0,2
205,271,3,1,5,0,4
210,321,2,4,3,0,127
216,380,3,3,3,0,38
218,367,2,1,3,0,27
224,350,3,1,5,0,16
231,183,0,0,3,0,3
235,339,0,0,3,0,28
236,240,1,3,3,4,16
240,398,9,5,2,5,25
243,413,12,3,3,22,122
251,424,9,3,3,0,58
