day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,3,,,,,,,,,,
1,,,3,,,,,,,,,,
2,,2,3,,,,,,,,,,
3,,2,4,,,,,,,,,,
4,1,4,4,,,,,,,,,,
5,1,4,4,,,,,,,,,,
6,3,4,6,,,,,,,,,,
7,5,4,6,,,,,,,,,,
8,7,4,6,,,,,,,,,,
9,7,9,,,,,,,,,,,
10,5,2,10,,,,,,,,,,
11,6,2,9,,,,,,,,,,
12,6,2,10,,,,,,,,,,
13,6,2,10,,,,,,,,,,
14,7,4,10,,,,,,,,,,
15,8,2,10,,,,,,,,,,
16,7,,16,,,,,,,,,,
17,6,,16,,,,,,,,,,
18,7,,16,,,,,,,,,,
19,9,,16,,,,,,,,,,
20,9,,18,,,,,,,,,,
21,14,,16,,,,,,,,,,
22,17,,16,,,,,,,,,,
23,17,,16,,,,,,,,,,
24,16,2,17,,,,,,,,,,
25,15,2,20,,,,,,,,,,
26,17,2,21,,,,,,,,,,
27,19,2,20,,,,,,,,,,
28,20,4,21,,,,,,,,,,
29,21,4,21,,,,,,,,,,
30,23,4,21,,,,,,,,,,
31,25,9,14,,,,,,,,,,
32,26,7,,18,,,,,,,,,
33,26,7,,18,,,,,,,,,
34,26,7,,18,,,,,,,,,
35,24,4,,,28,,,,,,,,
36,24,4,,,,28.0,,,,,,,
37,24,4,,,,28.0,,,,,,,
38,24,4,,,,29.0,,,,,,,
39,24,4,,,,30.0,,,,,,,
40,22,4,,,,36.0,,,,,,,
41,21,4,,,,38.0,,,,,,,
42,23,4,,,,39.0,,,,,,,
43,23,4,,,,39.0,,,,,,,
44,25,4,,,,39.0,,,,,,,
45,25,4,,,,38.0,,,,,,,
46,27,4,,,,38.0,,,,,,,
47,28,4,,,,38.0,,,,,,,
48,26,2,,,,45.0,,,,,,,
49,3,,,,,73.0,,,,,,,
50,4,,,,,72.0,,,,,,,
51,4,,,,,72.0,,,,,,,
52,4,,,,,74.0,,,,,,,
53,5,,,,,74.0,,,,,,,
54,6,,,,,76.0,,,,,,,
55,6,,,,,76.0,,,,,,,
56,6,,,,,79.0,,,,,,,
57,7,,,,,78.0,,,,,,,
58,7,,,,,78.0,,,,,,,
59,7,,,,,78.0,,,,,,,
60,8,,,,,78.0,,,,,,,
61,8,,,,,78.0,,,,,,,
62,9,,,,,78.0,,,,,,,
63,11,,,,,80.0,,,,,,,
64,12,,,,,81.0,,,,,,,
65,33,8,,,,53.0,,,,,,,
66,36,8,,,,53.0,,,,,,,
67,35,8,,,,56.0,,,,,,,
68,36,8,,,,56.0,,,,,,,
69,38,8,,,,58.0,,,,,,,
70,32,10,,,,64.0,,,,,,,
71,31,12,,,,63.0,,,,,,,
72,31,12,,,,,66.0,,,,,,
73,31,12,,,,,66.0,,,,,,
74,31,12,,,,,67.0,,,,,,
75,33,12,,,,,67.0,,,,,,
76,36,15,,,,,63.0,,,,,,
77,36,15,,,,,63.0,,,,,,
78,32,11,,,,,75.0,,,,,,
79,32,11,,,,,74.0,,,,,,
80,30,11,,,,,81.0,,,,,,
81,30,11,,,,,81.0,,,,,,
82,30,11,,,,,80.0,,,,,,
83,34,13,,,,,74.0,,,,,,
84,33,9,,,,,84.0,,,,,,
85,34,9,,,,,84.0,,,,,,
86,35,9,,,,,85.0,,,,,,
87,36,9,,,,,85.0,,,,,,
88,37,9,,,,,87.0,,,,,,
89,36,9,,,,,89.0,,,,,,
90,37,9,,,,,91.0,,,,,,
91,37,9,,,,,92.0,,,,,,
92,40,9,,,,,88.0,,,,,,
93,44,11,,,,,83.0,,,,,,
94,44,11,,,,,84.0,,,,,,
95,45,11,,,,,84.0,,,,,,
96,40,9,,,,,,98.0,,,,,
97,41,9,,,,,,98.0,,,,,
98,42,9,,,,,,100.0,,,,,
99,43,9,,,,,,100.0,,,,,
100,43,9,,,,,,109.0,,,,,
101,43,9,,,,,,109.0,,,,,
102,43,9,,,,,,110.0,,,,,
103,44,9,,,,,,108.0,,,,,
104,44,7,,,,,,113.0,,,,,
105,45,7,,,,,,115.0,,,,,
106,47,7,,,,,,115.0,,,,,
107,47,7,,,,,,115.0,,,,,
108,48,7,,,,,,115.0,,,,,
109,48,7,,,,,,115.0,,,,,
110,53,8,,,,,,118.0,,,,,
111,53,8,,,,,,118.0,,,,,
112,51,4,,,,,,125.0,,,,,
113,51,4,,,,,,125.0,,,,,
114,50,4,,,,,,129.0,,,,,
115,50,16,,,,,,116.0,,,,,
116,50,16,,,,,,116.0,,,,,
117,52,16,,,,,,117.0,,,,,
118,53,16,,,,,,116.0,,,,,
119,53,16,,,,,,116.0,,,,,
120,53,16,,,,,,121.0,,,,,
121,53,16,,,,,,121.0,,,,,
122,53,16,,,,,,121.0,,,,,
123,53,16,,,,,,121.0,,,,,
124,50,14,,,,,,128.0,,,,,
125,51,14,,,,,,128.0,,,,,
126,53,9,,,,,,135.0,,,,,
127,54,9,,,,,,135.0,,,,,
128,53,9,,,,,,136.0,,,,,
129,53,9,,,,,,136.0,,,,,
130,56,9,,,,,,136.0,,,,,
131,56,9,,,,,,135.0,,,,,
132,55,9,,,,,,138.0,,,,,
133,56,9,,,,,,140.0,,,,,
134,56,9,,,,,,141.0,,,,,
135,56,9,,,,,,142.0,,,,,
136,58,9,,,,,,140.0,,,,,
137,59,9,,,,,,138.0,,,,,
138,59,9,,,,,,139.0,,,,,
139,59,9,,,,,,139.0,,,,,
140,61,9,,,,,,142.0,,,,,
141,61,9,,,,,,142.0,,,,,
142,61,9,,,,,,143.0,,,,,
143,61,9,,,,,,143.0,,,,,
144,62,9,,,,,,144.0,,,,,
145,63,9,,,,,,142.0,,,,,
146,64,9,,,,,,143.0,,,,,
147,65,9,,,,,,144.0,,,,,
148,64,4,,,,,,155.0,,,,,
149,64,4,,,,,,154.0,,,,,
150,64,4,,,,,,154.0,,,,,
151,65,4,,,,,,154.0,,,,,
152,64,4,,,,,,155.0,,,,,
153,67,4,,,,,,156.0,,,,,
154,68,4,,,,,,158.0,,,,,
155,68,4,,,,,,159.0,,,,,
156,68,4,,,,,,161.0,,,,,
157,68,4,,,,,,162.0,,,,,
158,68,4,,,,,,161.0,,,,,
159,68,2,,,,,,164.0,,,,,
160,70,2,,,,,,166.0,,,,,
161,70,2,,,,,,166.0,,,,,
162,70,2,,,,,,166.0,,,,,
163,71,5,,,,,,162.0,,,,,
164,72,5,,,,,,162.0,,,,,
165,75,5,,,,,,162.0,,,,,
166,74,2,,,,,,169.0,,,,,
167,74,2,,,,,,169.0,,,,,
168,74,2,,,,,,170.0,,,,,
169,75,2,,,,,,170.0,,,,,
170,77,2,,,,,,168.0,,,,,
171,76,2,,,,,,170.0,,,,,
172,75,2,,,,,,175.0,,,,,
173,75,2,,,,,,175.0,,,,,
174,75,6,,,,,,172.0,,,,,
175,76,6,,,,,,173.0,,,,,
176,74,6,,,,,,180.0,,,,,
177,74,6,,,,,,181.0,,,,,
178,77,6,,,,,,181.0,,,,,
179,78,6,,,,,,181.0,,,,,
